selling_price,year,km_driven,mileage,engine,max_power,age,Diesel,Electric,LPG,Petrol,Manual,5seats,>5seats
14.95,2016,100000,13.68,2393,147.8,6,1,0,0,0,1,0,1
6,2017,50000,28.4,1248,74.02,5,1,0,0,0,1,1,0
4,2010,120000,13,2489,95,12,1,0,0,0,1,0,1
17.5,2017,55000,11.1,2354,158.8,5,0,0,0,1,0,1,0
3.25,2012,110000,19.3,1248,73.9,10,1,0,0,0,1,1,0
8.81,2017,51234,24.52,1248,88.5,5,1,0,0,0,1,0,1
20.9025,2015,90000,16.36,2179,187.7,7,1,0,0,0,0,1,0
3.1,2016,12581,14,796,35,6,0,0,0,1,1,1,0
5,2021,5000,21.7,998,67,1,0,0,0,1,1,1,0
3.5,2013,120000,19.01,1461,108.45,9,1,0,0,0,1,1,0
2.95,2015,55000,26.2,998,58.2,7,0,0,0,0,1,1,0
3.35,2015,50000,15.37,1196,73,7,0,0,0,1,1,1,0
2.81,2009,80000,16.8,1497,118,13,0,0,0,1,0,1,0
18,2017,60000,11.36,2755,171.5,5,1,0,0,0,0,0,1
4.78,2012,69934,15.4,2179,120,10,1,0,0,0,1,0,1
6.5,2017,15000,17.5,1199,88.7,5,0,0,0,1,1,1,0
3.3,2012,90000,11.57,2179,138.1,10,1,0,0,0,1,0,1
3.5,2014,78500,18.2,1248,73.8,8,1,0,0,0,1,0,1
3.6,2010,156000,19.3,1248,73.9,12,1,0,0,0,1,1,0
6.5,2018,25000,17.8,1198,86.7,4,0,0,0,1,1,1,0
10.45,2019,15000,19.01,1462,103.26,3,0,0,0,1,1,0,1
2.95,2015,35000,20.51,998,67.06,7,0,0,0,1,1,1,0
1.4,2013,65000,25.44,936,57.6,9,1,0,0,0,1,1,0
3,2013,70000,23.4,1248,74,9,1,0,0,0,1,1,0
5.25,2016,51000,20.4,1197,81.8,6,0,0,0,1,1,1,0
3.8,2017,60000,18.9,1197,82,5,0,0,0,1,1,1,0
6.4,2016,50125,19,1197,85.8,6,0,0,0,1,1,1,0
5,2012,90000,23,1396,90,10,1,0,0,0,1,1,0
3.45,2019,30000,15.37,1196,73,3,0,0,0,1,1,1,0
2.7,2012,104760,25.44,936,57.6,10,1,0,0,0,1,1,0
7.75,2017,49000,17.5,1373,80.46,5,0,0,0,0,1,0,1
5.45,2017,24000,20.89,1197,81.8,5,0,0,0,1,0,1,0
8.35,2018,39000,21.14,1498,103.52,4,1,0,0,0,1,1,0
3.25,2011,71000,16.8,1497,116.4,11,0,0,0,1,1,1,0
6.95,2018,19000,22,1197,81.8,4,0,0,0,1,0,1,0
9.5,2017,24000,21.9,1498,98.6,5,1,0,0,0,1,0,1
7,2016,58000,17.4,1497,117.3,6,0,0,0,1,1,1,0
6.32,2019,20000,21.21,1197,81.8,3,0,0,0,1,1,1,0
7.31,2013,63500,17.2,1968,138.1,9,1,0,0,0,0,1,0
12.5,2017,30000,17.6,2179,153.86,5,1,0,0,0,1,0,1
1.5,2013,70000,16.2,995,62.1,9,0,0,0,1,1,1,0
12,2018,47000,17.6,2179,153.86,4,1,0,0,0,0,0,1
3.96,2014,60000,18.9,1197,82,8,0,0,0,1,1,1,0
4.16,2014,165000,24,1120,70,8,1,0,0,0,1,1,0
5.4,2016,55371,19.1,1197,82,6,0,0,0,1,1,1,0
4.5,2012,77775,19.3,1248,73.9,10,1,0,0,0,1,1,0
7,2017,60000,27.39,1248,74,5,1,0,0,0,1,1,0
1.1,2014,70000,25,1396,69,8,1,0,0,0,1,1,0
4.5,2017,70000,19.09,1405,69.01,5,1,0,0,0,1,1,0
